prompt_id,identity_status,prompt_text
D-C1,diffusion,"I haven't really thought much about what I want to do after high school. I figure I'll worry about it later."
D-C2,diffusion,"A lot of people around me seem to have plans for the future, but I don't really have any right now."
D-C3,diffusion,"When teachers ask about future careers, I never know what to say because I haven't looked into it much."
D-C4,diffusion,"I know I should probably think more about my future, but I usually just focus on what's happening right now."
D-C5,diffusion,"I haven't spent much time exploring different jobs or college options. It just hasn't felt very important yet."
D-V1,diffusion,"When people talk about their beliefs and values, I realize I haven't really thought about what mine are."
D-V2,diffusion,"I don't have strong opinions or values about most things. I usually just go with whatever seems easiest."
D-V3,diffusion,"I've never spent much time trying to figure out what matters most to me."
D-V4,diffusion,"Sometimes people ask what I stand for, and honestly I don't really know."
D-V5,diffusion,"I haven't really questioned or explored my beliefs much. It's just not something I think about often."
D-F1,diffusion,"My parents sometimes ask what I want for my future, but I usually don't have much of an answer."
D-F2,diffusion,"I know my family has expectations for me, but I haven't thought much about whether they fit what I want."
D-F3,diffusion,"When people ask if I agree with my family's views, I've never really considered it."
D-F4,diffusion,"I don't spend much time thinking about how my family's expectations affect my choices."
D-F5,diffusion,"I've never really sat down and thought about what I want versus what my family wants."
D-R1,diffusion,"I haven't thought much about what I want in close friendships. I just spend time with whoever I'm around."
D-R2,diffusion,"When it comes to relationships, I mostly just go with whatever happens."
D-R3,diffusion,"I've never really thought about what qualities are important to me in friends."
D-R4,diffusion,"I don't spend much time thinking about how relationships fit into my future."
D-R5,diffusion,"I usually just let other people decide what we're doing rather than thinking about what I want."
D-S1,diffusion,"If someone asked me to describe who I am, I'd have a hard time answering."
D-S2,diffusion,"I don't think I've spent much time trying to figure out what makes me unique."
D-S3,diffusion,"I mostly just take things day by day without thinking too much about who I want to become."
D-S4,diffusion,"I hear people talk about finding themselves, but I've never really focused on that."
D-S5,diffusion,"I'm not sure how I'd describe myself because I haven't thought about it very much."
F-C1,foreclosure,"I've always planned to become a doctor because that's what people in my family do."
F-C2,foreclosure,"My future career has basically been decided for years, so I've never really looked at other options."
F-C3,foreclosure,"I already know what path I'm going to follow because it's the path my parents expect."
F-C4,foreclosure,"I don't see much reason to explore different careers since I've known what I'm going to do for a long time."
F-C5,foreclosure,"People tell me to keep my options open, but I'm already set on the future my family has planned."
F-V1,foreclosure,"I believe the same things my family believes, and I've never really questioned them."
F-V2,foreclosure,"My parents taught me what's right and wrong, so I don't see much reason to reconsider it."
F-V3,foreclosure,"I've always accepted the beliefs I was raised with because they've worked for my family."
F-V4,foreclosure,"I don't spend much time exploring different viewpoints because I'm already comfortable with mine."
F-V5,foreclosure,"My values are pretty much the same as my family's, and I've never felt the need to examine them."
F-F1,foreclosure,"My family has always had clear expectations for me, and I've never really considered doing something different."
F-F2,foreclosure,"I trust my parents' vision for my future, so I usually follow the path they've laid out."
F-F3,foreclosure,"Most major decisions about my future feel straightforward because my family already knows what's best."
F-F4,foreclosure,"I've never really questioned the goals my family has for me."
F-F5,foreclosure,"When my family gives me advice about my future, I usually accept it without much debate."
F-R1,foreclosure,"My parents have strong opinions about the kinds of friends I should have, and I've always followed their guidance."
F-R2,foreclosure,"I already know what a good relationship should look like because my family has taught me."
F-R3,foreclosure,"I don't really question my family's views about relationships."
F-R4,foreclosure,"My ideas about friendship and dating mostly come from how I was raised."
F-R5,foreclosure,"I've never felt much need to form my own opinions about relationships because my family already gave me a clear example."
F-S1,foreclosure,"I've always known who I am because my family has been clear about the kind of person I should be."
F-S2,foreclosure,"When I think about myself, I mostly see the values and expectations I was raised with."
F-S3,foreclosure,"I don't spend much time questioning who I am because I've had a clear identity for as long as I can remember."
F-S4,foreclosure,"I feel confident about who I am because I know what my family expects of me, even if I haven't explored other possibilities."
F-S5,foreclosure,"The way I see myself is closely tied to the expectations and traditions I grew up with."
M-C1,moratorium,"I'm interested in several different careers, but the more I learn about them, the harder it is to decide which one fits me best."
M-C2,moratorium,"I've been spending a lot of time thinking about my future, but I still feel uncertain about what direction I want to take."
M-C3,moratorium,"Every time I think I've found the right career path, I discover something else that makes me question my decision."
M-C4,moratorium,"I'm trying to explore different possibilities for my future before committing to any one path."
M-C5,moratorium,"I feel pressure to make decisions about my future, but I don't think I've figured myself out enough yet."
M-V1,moratorium,"Lately I've been questioning some beliefs I used to take for granted, but I'm not sure what I think anymore."
M-V2,moratorium,"The more perspectives I hear, the harder it becomes to decide what I truly believe."
M-V3,moratorium,"I've been spending a lot of time reflecting on my values, but I still feel like I'm figuring them out."
M-V4,moratorium,"Sometimes I feel caught between different viewpoints and don't know which one aligns with who I am."
M-V5,moratorium,"I want my beliefs to genuinely be my own, but I'm still trying to determine what that means."
